Date,Time,Portfolio_Value,Daily_Return_%,Volatility_%,VAR_95_%,Sharpe_Ratio,Max_Drawdown_%,Largest_Position_%,Cash_%,Equity_%,Num_Positions
2026-01-16,01:05,99,986.00,+0.00,0.0,+0.0,0.00,+0.0,12.0,72.0,28.0,3
2026-01-16,01:06,99,991.30,+0.01,0.0,+0.0,0.00,+0.0,12.0,72.0,28.0,3
2026-01-16,01:10,99,994.85,+0.00,0.0,+0.0,0.00,+0.0,12.0,72.0,28.0,3
2026-01-17,11:20,99,886.70,-0.10,0.0,+0.0,0.00,+0.1,11.9,80.2,19.8,2
2026-01-17,11:46,99,883.10,+0.00,0.0,+0.0,0.00,+0.1,11.9,73.0,27.0,3,1
2026-01-18,12:50,99,883.10,+0.00,0.0,+0.0,0.00,+0.1,11.9,73.0,27.0,3,1
2026-01-19,10:06,99,883.10,+0.00,0.0,+0.0,0.00,+0.1,11.9,73.0,27.0,3,1
2026-01-20,20:30,99,507.85,-0.38,0.0,+0.0,0.00,+0.5,11.8,73.2,26.8,3,1
2026-01-21,22:57,99,228.70,-0.27,0.0,+0.0,0.00,+0.8,7.7,85.3,14.7,2,1
2026-01-23,11:04,99,415.68,+0.19,0.0,+0.0,0.00,+0.6,7.7,92.3,7.7,1,0
2026-01-25,18:13,99,397.53,-0.01,0.0,+0.0,0.00,+0.6,10.0,75.1,24.9,3,1
2026-01-29,18:03,100,139.49,+0.75,0.0,+0.0,0.00,+0.0,10.2,82.4,17.6,2,1
2026-01-30,09:23,99,464.10,-0.67,0.0,+0.0,0.00,+0.7,10.3,75.0,25.0,3,1
2026-02-01,10:55,99,168.58,-0.29,0.0,+0.0,0.00,+1.0,10.3,68.0,32.0,4,2
2026-02-03,22:03,98,868.86,-0.29,0.0,+0.0,0.00,+1.3,10.5,67.6,32.4,4,2
2026-02-06,23:47,98,498.46,-0.36,0.0,+0.0,0.00,+1.6,10.0,58.6,41.4,6,1
2026-02-13,17:02,57,726.71,-41.39,0.0,+0.0,0.00,+42.4,17.0,100.0,70.6,6,1
2026-02-13,17:10,98,341.36,+70.36,0.0,+0.0,0.00,+1.8,9.5,67.3,32.7,5,1
2026-02-21,14:26,98,499.97,-17.26,0.0,+0.0,0.00,+18.8,9.5,75.3,24.7,4,1
2026-02-25,22:45,98,914.39,+0.44,0.0,+0.0,0.00,+1.2,12.0,61.0,39.0,5,0
