2026-01-18,22:24,MA,BUY,13.35,539.49,7200,82.2,Dip Buy
2026-01-18,22:24,MSFT,BUY,15.66,459.86,7200,82.1,Dip Buy
2026-01-18,22:24,V,BUY,18.27,328.30,6000,77.6,Dip Buy
2026-01-18,22:24,AAPL,BUY,31.30,255.53,7999,69.8,Rebalance
2026-01-23,10:28,MSFT,SELL,15.66,451.14,7063,0.0,Rebalance 0%
2026-01-23,10:28,GOOG,BUY,30.07,330.84,9950,70.2,Rebalance
2026-01-25,18:12,MSFT,BUY,15.34,465.95,7149,87.5,Dip Buy
2026-01-29,22:47,AAPL,SELL,31.30,256.60,8033,0.0,Rebalance 0%
2026-01-29,22:47,TSM,BUY,23.62,336.41,7947,61.5,Rebalance
2026-01-30,09:31,META,BUY,10.81,738.31,7984,63.5,Rebalance
2026-02-03,22:00,TSM,SELL,23.62,337.55,7974,0.0,Rebalance 0%
2026-02-03,22:00,V,SELL,18.27,334.74,6117,0.0,Rebalance 0%
2026-02-03,22:00,META,SELL,10.81,697.43,7542,0.0,Rebalance 0%
2026-02-03,22:00,AVGO,BUY,23.76,317.31,7540,77.0,Rebalance
2026-02-03,22:00,PG,BUY,63.74,155.92,9938,73.9,Rebalance
2026-02-04,22:05,PG,SELL,63.74,157.94,10067,0.0,Rebalance 0%
2026-02-05,12:09,NVDA,BUY,34.07,174.19,5935,58.9,Rebalance
2026-02-05,12:09,AAPL,BUY,21.46,276.49,5935,51.6,Rebalance
2026-02-06,23:44,MSFT,SELL,15.34,399.77,6134,0.0,Rebalance 0%
2026-02-06,23:44,GOOG,SELL,30.07,325.15,9779,0.0,Rebalance 0%
2026-02-06,23:44,MA,SELL,13.35,541.04,7221,0.0,Rebalance 0%
2026-02-08,21:24,AVGO,SELL,23.76,332.92,7911,0.0,Rebalance 0%
2026-02-08,21:24,NVDA,BUY,30.18,185.41,5595,82.6,Rebalance
2026-02-12,22:50,TSM,BUY,16.20,367.54,5953,55.2,Rebalance
2026-02-15,11:01,GOOG,BUY,32.22,306.02,9859,79.9,Rebalance
2026-02-15,11:01,MA,BUY,11.41,518.36,5915,71.8,Dip Buy
2026-02-20,22:10,TSM,SELL,16.20,369.61,5986,0.0,Rebalance 0%
2026-02-26,12:57,MA,SELL,11.41,509.39,5813,0.0,Rebalance 0%
2026-02-26,12:57,AVGO,BUY,30.08,332.31,9997,77.3,Rebalance
2026-02-26,12:57,JPM,BUY,26.37,303.30,7997,65.2,Rebalance
2026-02-27,23:43,AVGO,SELL,30.08,317.30,9546,0.0,Rebalance 0%
2026-02-27,23:43,NVDA,SELL,64.25,179.23,11515,0.0,Rebalance 0%
2026-02-27,23:43,GOOG,SELL,32.22,305.62,9847,0.0,Rebalance 0%
2026-02-27,23:43,JPM,SELL,26.37,296.60,7821,0.0,Rebalance 0%
2026-02-27,23:43,AAPL,SELL,21.46,266.70,5724,0.0,Rebalance 0%
