date,action,ticker,name,quantity,price,value,reason,r_asre
2026-05-19,BUY,SBIN.NS,State Bank of India,1197.5729188843943,939.4,1125000.0,BUY: R_ASRE=89.8; F=93/T=88/M=23; Tier N/A; EARLY dip; moderate conviction,89.8
2026-05-19,BUY,AMBER.NS,Amber Enterprises,157.26567414552318,7153.5,1125000.0,BUY: R_ASRE=77.2; F=67/T=87/M=96; Tier N/A; BALANCED dip; moderate conviction,77.2
2026-05-19,BUY,PRESTIGE.NS,Prestige Estates,614.433603932375,1342.7,825000.0,BUY: R_ASRE=80.3; F=82/T=86/M=37; Tier N/A; BALANCED dip; standard conviction,80.3
2026-05-19,BUY,WAAREEENER.NS,Waaree Energies Ltd.,275.22935779816515,2997.5,825000.0,BUY: R_ASRE=83.4; F=82/T=23/M=94; Tier N/A; RECOVERY dip; standard conviction,83.4
2026-05-19,BUY,MOTHERSON.NS,Motherson International,6407.766990291262,128.75,825000.0,BUY: R_ASRE=79.4; F=63/T=94/M=48; Tier N/A; BALANCED dip; standard conviction,79.4
2026-05-19,BUY,BAJFINANCE.NS,Bajaj Finance,895.6682227771144,921.1,825000.0,BUY: R_ASRE=77.2; F=67/T=94/M=52; Tier N/A; BALANCED dip; standard conviction,77.2
2026-05-19,BUY,TVSMOTOR.NS,TVS Motor Company,250.68368277119416,3291.0,825000.0,BUY: R_ASRE=79.5; F=66/T=87/M=32; Tier N/A; BALANCED dip; standard conviction,79.5
2026-05-19,BUY,PAYTM.NS,Paytm,542.9372907429192,1105.1,600000.0,BUY: R_ASRE=85.5; F=58/T=52/M=43; Tier N/A; BALANCED dip; standard conviction,85.5
2026-05-19,BUY,ETERNAL.NS,Eternal Ltd.,2485.5012427506213,241.4,600000.0,BUY: R_ASRE=81.0; F=66/T=30/M=50; Tier N/A; BALANCED dip; standard conviction,81.0
2026-05-19,BUY,PTCIL.NS,PTC Industries Ltd.,36.91853310361802,16252.0,600000.0,BUY: R_ASRE=79.4; F=61/T=36/M=38; Tier N/A; BALANCED dip; standard conviction,79.4
2026-05-19,BUY,MUTHOOTFIN.NS,Muthoot Finance Ltd.,182.32094563797136,3290.9,600000.0,BUY: R_ASRE=73.5; F=82/T=5/M=39; Tier N/A; EARLY dip; standard conviction,73.5
2026-05-20,SELL,WAAREEENER.NS,Waaree Energies Ltd.,275.22935779816515,2998.8,825357.7981651378,SELL: R_ASRE 20.0 dropped below sell floor 45; R_ASRE=20.0; F=82/T=16/M=94 | P&L: ₹+358,20.0
2026-05-20,BUY,V2RETAIL.NS,V2 Retail,3649.9579701809494,226.03,825000.0,BUY: R_ASRE=71.8; F=82/T=22/M=100; Tier N/A; RECOVERY dip; standard conviction,71.8
